label,area,time,cm_lat,cm_lon,mean,stdev,median,min_value,min_lat,min_lon
3,2824013.7914068196,1993-02-20,97,316,-1.8208945709859485,0.2295639792741002,-1.7831703,-2.5531561,148,318
8,2684003.389759003,1993-02-21,84,348,-1.8224561117912192,0.28530140580710234,-1.7339547,-3.1319153,89,360
6,2368763.1808608915,1993-02-22,68,379,-2.101101235154549,0.3680271600417051,-2.1040838,-3.30839,89,363
6,1298743.6078692924,1993-02-23,52,395,-1.9805764016374603,0.23962419679980454,-1.988088,-2.6726906,75,400
30,954803.1532175184,1993-02-23,103,194,-1.8405064037749554,0.22874999233879326,-1.8085265,-2.5156775,112,188
6,640352.511936432,1993-02-24,33,392,-1.9666918746908801,0.33603616371424894,-1.8912379,-2.8463142,33,386
17,1186207.006227819,1993-02-24,101,203,-1.8596505128581564,0.2173588283810792,-1.8354651,-2.5477111,92,191
3,524285.71902862453,1993-02-25,25,401,-1.8789356647170035,0.2856528119452762,-1.8056589,-3.02049,33,433
26,1666865.2025579643,1993-02-25,121,302,-1.9275314924090157,0.27774625433171757,-1.9393219,-3.0182838,121,289
12,506502.57097910205,1993-02-26,99,118,-2.004850735438281,0.3781003071052991,-1.9259343,-3.5197337,97,116
27,1005140.3758475923,1993-02-26,127,323,-1.839127629743698,0.19962058990230194,-1.8259419,-2.792014,112,310
2,566229.7254361998,1993-02-27,12,209,-1.8626778162955724,0.24975205728355176,-1.8239789,-2.7149875,3,206
5,648158.1128421354,1993-02-28,43,385,-1.8793833741871093,0.29407175691155585,-1.7998487,-2.6961894,30,384
1,888108.8194012133,1993-03-04,23,380,-1.9835941403788626,0.3674258936807435,-1.9318172,-2.948735,36,378
1,1150105.9084834913,1993-03-05,25,395,-2.1137845841676395,0.3852844911584755,-2.111427,-3.1780844,5,390
1,947165.2522080549,1993-03-06,21,399,-2.0315915987461426,0.331979268105777,-1.9874794,-3.0414336,3,395
1,766178.756097816,1993-03-08,21,382,-1.9679159681305631,0.3952614708080215,-1.822128,-2.987943,32,382
1,733709.3948377322,1993-03-09,25,383,-2.1447631595759376,0.5838912187539835,-1.9531372,-3.498343,33,384
5,1208014.5619292674,1993-03-13,51,390,-2.110602953511279,0.5158467422761831,-1.9108465,-3.8460968,37,394
22,1391544.6223194776,1993-03-13,161,213,-1.9767814793382994,0.3412166599918755,-1.8950388,-2.9249957,132,185
6,1699222.986475369,1993-03-14,50,394,-2.177893277849774,0.619971143515129,-1.9089211,-4.1142774,38,395
27,2313798.934897291,1993-03-14,157,260,-2.0059937577444886,0.4191205763504818,-1.8942474,-3.7685554,170,283
9,682196.9233570793,1993-03-15,35,389,-2.4281144483120682,0.7067433661311169,-2.2901325,-4.0192156,34,396
