chain_id,branch_id,date,label,day_in_chain
69,1,1997-01-25,41,5
70,1,1997-01-25,41,3
71,1,1997-01-26,19,4
71,1,1997-01-27,19,5
71,1,1997-01-28,46,6
72,1,1997-01-28,66,1
73,1,1997-12-23,4,1
73,1,1997-12-24,7,2
74,1,1997-12-26,34,1
74,1,1997-12-27,22,2
74,1,1997-12-28,20,3
74,1,1997-12-29,19,4
75,1,1998-01-01,34,1
76,1,1998-01-02,1,1
77,1,1998-01-02,37,1
76,1,1998-01-03,5,2
76,1,1998-01-04,8,3
76,1,1998-01-05,7,4
78,1,1998-01-06,33,1
78,1,1998-01-07,27,2
78,1,1998-01-08,45,3
79,1,1998-01-09,3,1
79,1,1998-01-10,3,2
79,1,1998-01-11,10,3
80,1,1999-01-04,4,1
80,1,1999-01-05,6,2
80,1,1999-01-06,35,3
80,1,1999-01-07,19,4
81,1,1999-01-09,3,1
81,1,1999-01-10,41,2
81,1,1999-01-11,4,3
81,1,1999-01-12,3,4
81,1,1999-01-13,5,5
81,1,1999-01-14,13,6
82,1,1999-01-21,1,1
82,1,1999-01-22,7,2
82,1,1999-01-23,2,3
83,1,2000-01-14,65,1
84,1,2000-01-14,7,1
84,1,2000-01-15,16,2
83,1,2000-01-15,41,2
83,1,2000-01-16,62,3
84,1,2000-01-16,22,3
83,1,2000-01-17,44,4
84,1,2000-01-17,15,4
83,1,2000-01-18,30,5
83,1,2000-01-19,56,6
85,1,2000-01-21,7,1
85,1,2000-01-22,6,2
85,1,2000-01-23,3,3
86,1,2000-01-26,20,1
86,1,2000-01-27,4,2
86,1,2000-01-28,7,3
86,1,2000-01-29,16,4
